Age,Gender,Program_Stream,Daily_Study_Hours,Weekly_Revision_Days,Study_Hours_Before_Exam,Number_of_Subjects,Class_Attendance_Percentage,Assignment_Quality_Rating,Group_Study,Coaching_or_Tuition,Average_Sleep_Hours,Caffeine_Intake_Cups,Daily_Screen_Time_Hours,Exercise_Days_Per_Week,Daily_Commute_Time_Minutes,Part_Time_Job,Stress_Level,Motivation_Level,Concentration_Ability,Study_Environment_Quality,Phone_Usage_During_Study_Minutes,Uses_AI_Tools,Uses_Handwritten_Notes,Preferred_Study_Time,Final_Score_Percentage
22,Male,CSE,2.0,2,10.0,6,86.0,4,0,0,7.0,1.0,9.0,5,15,0,3.0,7.0,7.0,7.0,6,1,0,Night (6:00 PM - 6:00 AM),80.0
20,Male,CSE,1.0,1,4.0,5,75.0,4,0,0,10.0,1.0,9.0,0,20,0,10.0,2.0,2.0,2.0,300,1,0,Night (6:00 PM - 6:00 AM),100.0
21,Male,BBA,1.0,1,2.0,5,92.0,10,1,0,12.0,2.0,8.0,0,5,0,5.0,3.0,3.0,6.0,1,1,0,Afternoon (12:00 PM - 6:00 PM),60.0
22,Female,B.DES,0.0,0,2.0,5,80.0,7,0,0,8.0,0.0,5.0,0,10,0,10.0,5.0,7.0,7.0,0,1,0,Night (6:00 PM - 6:00 AM),74.0
21,Male,CSE,3.0,7,4.0,3,79.0,7,1,0,3.0,0.0,13.0,7,30,0,6.0,3.0,6.0,7.0,120,1,0,Night (6:00 PM - 6:00 AM),93.3
20,Male,BBA,1.0,1,14.0,4,52.0,8,0,0,6.0,2.0,6.5,6,1,0,5.0,6.0,8.0,9.0,3,1,1,Night (6:00 PM - 6:00 AM),83.0
20,Male,CSE,8.0,7,10.0,7,3.0,10,1,1,12.0,10.0,10.0,7,60,1,10.0,1.0,1.0,1.0,360,1,1,Night (6:00 PM - 6:00 AM),70.0
22,Male,CSE,3.0,2,10.0,8,100.0,6,0,1,2.0,10.0,3.0,1,100,0,4.0,5.0,5.0,6.0,66,1,1,Morning (6:00 AM - 12:00 PM),66.0
35,Non-binary,BSC,12.0,6,18.0,7,0.0,3,1,0,6.0,0.0,0.0,0,60,0,1.0,1.0,3.0,10.0,0,0,0,Morning (6:00 AM - 12:00 PM),10.0
30,Male,BA,1.0,3,1.0,7,3.0,1,0,0,10.0,1.0,10.0,7,600,0,1.0,10.0,6.0,1.0,400,0,0,Afternoon (12:00 PM - 6:00 PM),70.0
20,Male,CSE,2.0,1,5.0,6,20.0,3,0,0,6.0,2.0,6.0,0,90,0,5.0,5.0,5.0,5.0,240,1,1,Night (6:00 PM - 6:00 AM),50.0
20,Prefer not to say,BCA,12.0,3,14.0,6,90.0,10,0,0,8.0,4.0,1.0,5,25,0,4.0,10.0,10.0,6.0,30,1,1,Morning (6:00 AM - 12:00 PM),98.0
18,Female,CSE,13.0,4,15.0,7,98.0,10,1,0,10.0,2.0,1.0,2,20,1,10.0,10.0,6.0,10.0,20,1,1,Morning (6:00 AM - 12:00 PM),80.0
19,Male,CSE,3.0,3,13.0,6,78.0,8,1,0,7.0,2.0,8.0,5,30,0,5.0,5.0,5.0,6.0,30,1,1,Afternoon (12:00 PM - 6:00 PM),82.0
21,Male,CSE,1.0,1,3.0,6,20.0,1,0,0,4.0,0.0,12.0,2,40,0,10.0,10.0,10.0,10.0,0,1,0,Night (6:00 PM - 6:00 AM),70.0
58,Male,BBA LLB,16.0,2,8.0,8,95.0,9,1,0,6.0,2.0,2.0,3,120,0,7.0,9.0,10.0,7.0,60,1,1,Night (6:00 PM - 6:00 AM),98.0
20,Male,CSE,0.0,0,1.0,6,44.0,1,0,0,4.0,6.0,6.0,0,45,0,3.0,1.0,1.0,1.0,0,1,0,Night (6:00 PM - 6:00 AM),85.0
20,Male,CSE,0.0,0,4.0,7,55.0,1,0,0,12.0,4.0,13.0,0,5,0,1.0,1.0,1.0,10.0,600,1,1,Night (6:00 PM - 6:00 AM),83.0
19,Male,CSE,5.0,4,15.0,6,49.0,5,1,0,7.0,3.0,2.0,4,120,0,10.0,5.0,5.0,7.0,60,1,1,Night (6:00 PM - 6:00 AM),75.0
21,Male,BA,4.0,5,7.0,7,67.0,6,1,1,9.0,4.0,13.0,4,50,1,6.0,9.0,8.0,5.0,46,1,1,Night (6:00 PM - 6:00 AM),89.0
20,Male,BBA,9.0,7,6.0,6,45.0,7,1,1,5.0,6.0,6.0,7,60,1,8.0,5.0,6.0,4.0,56,1,1,Night (6:00 PM - 6:00 AM),88.0
23,Female,BCOM,6.0,3,13.0,6,45.0,9,1,0,6.0,5.0,5.0,3,20,1,9.0,10.0,5.0,1.0,56,1,0,Morning (6:00 AM - 12:00 PM),89.0
19,Male,CSE,0.0,0,10.0,5,65.0,5,0,0,10.0,0.0,8.0,0,30,0,1.0,1.0,10.0,6.0,0,1,1,Afternoon (12:00 PM - 6:00 PM),80.0
20,Male,CSE,2.0,4,6.0,4,86.0,8,0,0,8.0,2.0,6.0,1,10,0,3.0,6.0,8.0,8.0,30,1,0,Night (6:00 PM - 6:00 AM),72.0
21,Male,BBA,3.0,2,6.0,6,78.0,7,0,1,6.0,5.0,7.0,3,35,0,2.0,5.0,7.0,8.0,65,1,1,Night (6:00 PM - 6:00 AM),84.0
19,Male,CSE,5.0,4,3.0,5,77.0,8,1,0,7.0,2.0,4.0,0,5,0,8.0,8.0,9.0,9.0,35,1,1,Morning (6:00 AM - 12:00 PM),69.0
26,Male,MBA,2.0,3,7.0,8,68.0,9,0,0,6.0,4.0,7.0,6,50,0,2.0,9.0,9.0,6.0,25,1,0,Night (6:00 PM - 6:00 AM),85.0
21,Male,BCA,4.0,1,8.0,6,91.0,4,0,1,10.0,1.0,7.0,3,30,1,8.0,2.0,3.0,6.0,120,1,0,Afternoon (12:00 PM - 6:00 PM),86.0
21,Male,CSE,5.0,2,10.0,12,85.0,8,0,0,7.0,1.0,4.0,6,20,0,6.0,9.0,7.0,6.0,10,1,1,Morning (6:00 AM - 12:00 PM),80.0
22,Female,BBA,1.0,0,12.0,6,80.0,9,0,0,8.0,0.5,3.0,2,10,0,8.0,6.0,7.0,7.0,1,1,1,Morning (6:00 AM - 12:00 PM),80.0
21,Male,CSE,3.0,1,4.0,3,77.0,5,0,0,8.0,1.0,6.0,6,30,0,7.0,5.0,7.0,6.0,50,1,1,Night (6:00 PM - 6:00 AM),80.0
19,Female,CSE,6.0,2,10.0,5,80.0,8,0,0,7.0,1.0,5.0,5,5,0,10.0,9.0,8.0,5.0,3,1,1,Afternoon (12:00 PM - 6:00 PM),88.0
21,Male,CSE,4.0,2,1.0,4,55.0,6,0,1,8.0,2.0,8.0,4,4,0,7.0,5.0,5.0,5.0,4,1,1,Morning (6:00 AM - 12:00 PM),90.0
22,Female,CSE,2.0,1,7.0,3,67.0,3,1,0,7.0,2.0,5.0,4,60,0,10.0,2.0,2.0,1.0,40,1,1,Morning (6:00 AM - 12:00 PM),78.0
18,Male,CSE,6.0,2,8.0,6,69.0,7,0,0,4.0,3.0,4.0,0,0,0,4.0,7.0,7.0,7.0,5,1,1,Morning (6:00 AM - 12:00 PM),85.0
25,Prefer not to say,BCA,0.0,0,2.0,6,55.0,4,0,0,8.0,1.0,6.0,4,0,0,1.0,9.0,4.0,7.0,60,1,0,Afternoon (12:00 PM - 6:00 PM),75.0
21,Male,CSE,1.0,0,12.0,6,30.0,5,0,1,5.0,2.0,6.0,6,3,1,10.0,3.0,10.0,3.0,60,1,0,Night (6:00 PM - 6:00 AM),89.0
21,Male,CSE,2.5,1,3.0,6,90.0,8,1,0,6.0,0.0,5.0,7,10,0,7.0,9.0,7.0,9.0,30,1,0,Night (6:00 PM - 6:00 AM),90.0
25,Female,MBA,3.0,1,10.0,7,98.0,8,0,0,6.0,1.0,5.0,0,3,0,6.0,6.0,8.0,5.0,30,1,1,Night (6:00 PM - 6:00 AM),91.0
24,Female,BSC,4.0,3,7.0,4,76.0,8,1,0,8.0,3.0,3.0,4,45,0,3.0,7.0,7.0,7.0,40,1,1,Morning (6:00 AM - 12:00 PM),68.0
23,Male,BSC,4.0,3,8.0,5,65.0,7,1,1,9.0,2.0,3.0,3,40,0,3.0,5.0,7.0,6.0,45,1,1,Morning (6:00 AM - 12:00 PM),71.0
23,Male,BCOM,4.0,3,5.0,5,68.0,7,1,1,8.0,2.0,4.0,4,50,0,2.0,6.0,5.0,6.0,40,1,1,Morning (6:00 AM - 12:00 PM),86.0
25,Male,BCA,4.0,3,7.0,5,58.0,6,1,1,8.0,3.0,3.0,3,50,1,2.0,7.0,6.0,5.0,50,1,1,Morning (6:00 AM - 12:00 PM),75.0
24,Female,BA,5.0,3,8.0,5,74.0,6,1,0,9.0,2.0,3.0,4,70,1,3.0,7.0,9.0,6.0,60,1,1,Morning (6:00 AM - 12:00 PM),81.0
22,Male,CSE,1.0,1,24.0,3,79.0,3,0,0,7.0,1.0,7.0,4,20,0,10.0,4.0,4.0,4.0,200,1,1,Night (6:00 PM - 6:00 AM),75.0
21,Male,CSE,6.0,2,8.0,8,83.0,10,1,1,7.0,2.0,4.0,5,2,0,3.0,6.0,7.0,7.0,20,1,1,Afternoon (12:00 PM - 6:00 PM),78.0
22,Male,CSE,5.0,2,8.0,7,80.0,10,1,0,8.0,3.0,6.0,4,2,0,5.0,5.0,4.0,5.0,30,1,1,Morning (6:00 AM - 12:00 PM),76.0
22,Male,BBA,3.0,1,4.0,5,70.0,6,0,1,7.0,1.0,3.0,0,0,0,8.0,4.0,5.0,4.0,30,1,1,Night (6:00 PM - 6:00 AM),70.0
20,Female,CSE,3.0,2,6.0,2,87.0,7,0,1,5.0,0.0,4.0,2,45,0,5.0,8.0,8.0,8.0,15,1,1,Night (6:00 PM - 6:00 AM),88.0
23,Female,MBBS,3.0,2,12.0,11,85.0,10,1,0,8.0,1.0,6.0,0,5,0,9.0,3.0,5.0,10.0,120,0,1,Afternoon (12:00 PM - 6:00 PM),72.0
21,Female,CSE,0.0,0,8.0,5,80.0,3,0,0,7.0,2.0,8.0,2,70,1,7.0,6.0,8.0,4.0,30,1,1,Night (6:00 PM - 6:00 AM),82.0
22,Male,CSE,1.0,2,8.0,5,87.0,4,1,0,6.0,2.0,10.0,0,30,0,9.0,3.0,5.0,4.0,100,1,0,Night (6:00 PM - 6:00 AM),80.0
23,Male,BCA,1.0,1,5.0,6,92.0,5,1,0,5.0,0.0,4.0,7,120,0,2.0,7.0,4.0,7.0,60,1,1,Night (6:00 PM - 6:00 AM),74.0
21,Female,CSE,1.0,0,6.0,5,76.0,3,0,0,8.0,3.0,7.0,4,50,0,7.0,6.0,5.0,4.0,70,1,1,Night (6:00 PM - 6:00 AM),82.0
26,Female,MBA,4.0,2,10.0,5,90.0,9,1,0,6.0,2.0,2.0,4,10,0,6.0,9.0,9.0,7.0,90,1,1,Night (6:00 PM - 6:00 AM),94.0
22,Male,CSE,4.0,3,10.0,6,90.0,4,0,0,6.0,0.0,4.0,7,40,0,4.0,5.0,5.0,5.0,100,1,0,Night (6:00 PM - 6:00 AM),90.0
21,Female,CSE,2.0,0,10.0,5,88.0,9,1,0,8.0,0.0,6.0,5,30,0,10.0,1.0,2.0,5.0,10,1,1,Night (6:00 PM - 6:00 AM),85.0
24,Male,CSE,2.0,2,10.0,4,93.0,4,0,0,8.0,2.0,8.0,4,40,0,8.0,4.0,4.0,5.0,400,1,0,Night (6:00 PM - 6:00 AM),60.0
22,Male,CSE,2.0,1,5.0,8,95.0,10,0,0,6.0,3.0,3.0,3,5,0,4.0,9.0,10.0,9.0,10,1,0,Night (6:00 PM - 6:00 AM),91.2
22,Male,CSE,4.0,3,2.0,3,90.0,9,0,0,6.0,0.0,7.0,5,60,0,8.0,2.0,2.0,7.0,60,1,1,Afternoon (12:00 PM - 6:00 PM),85.0
20,Male,CSE,1.0,0,20.0,6,81.0,10,0,0,6.0,3.0,7.0,5,60,0,8.0,9.0,1.0,1.0,240,1,1,Night (6:00 PM - 6:00 AM),85.0
21,Female,CSE,0.5,0,13.0,5,20.0,9,1,0,6.0,0.5,5.0,1,30,0,5.0,6.0,6.0,9.0,30,1,0,Morning (6:00 AM - 12:00 PM),95.0
21,Male,CSE,2.0,2,12.0,5,75.0,8,1,0,8.0,1.0,4.0,4,15,0,5.0,5.0,5.0,5.0,60,1,0,Night (6:00 PM - 6:00 AM),82.0
20,Male,CSE,5.0,4,6.0,4,76.0,3,0,1,8.0,3.0,5.0,3,30,0,5.0,3.0,5.0,4.0,50,1,0,Night (6:00 PM - 6:00 AM),77.0
22,Non-binary,BBA,3.0,2,7.0,6,89.0,8,0,0,10.0,5.0,7.0,1,15,1,8.0,1.0,3.0,5.0,35,0,1,Afternoon (12:00 PM - 6:00 PM),68.0
24,Female,B.DES,1.0,3,8.0,7,92.0,5,1,0,9.0,2.0,8.0,1,40,0,6.0,9.0,8.0,7.0,25,1,1,Night (6:00 PM - 6:00 AM),71.0
20,Male,CSE,1.0,4,6.0,4,72.0,6,0,0,8.0,1.0,7.0,5,45,0,1.0,7.0,7.0,4.0,30,1,0,Morning (6:00 AM - 12:00 PM),86.0
23,Male,CSE,5.0,3,8.0,4,95.0,7,1,0,6.0,4.0,3.0,2,25,0,4.0,7.0,8.0,6.0,15,1,0,Morning (6:00 AM - 12:00 PM),93.0
21,Male,BCA,3.0,5,6.0,6,65.0,3,1,1,7.0,1.0,4.0,4,5,0,2.0,7.0,6.0,8.0,140,1,0,Night (6:00 PM - 6:00 AM),82.0
20,Female,CSE,5.0,2,4.0,5,78.0,4,0,0,12.0,2.0,5.0,1,40,0,4.0,3.0,6.0,4.0,70,0,0,Night (6:00 PM - 6:00 AM),76.0
24,Male,CSE,2.0,5,4.0,4,64.0,8,0,1,5.0,1.0,6.0,3,25,0,6.0,8.0,8.0,5.0,150,1,0,Morning (6:00 AM - 12:00 PM),74.0
27,Male,MBA,6.0,3,8.0,5,86.0,6,1,0,8.0,3.0,4.0,5,40,1,4.0,7.0,8.0,8.0,50,1,0,Night (6:00 PM - 6:00 AM),89.0
22,Male,CSE,0.5,0,13.0,4,1.0,7,0,0,8.0,0.0,5.0,0,10,0,2.0,3.0,8.0,10.0,60,1,0,Night (6:00 PM - 6:00 AM),84.0
22,Male,BHMS,0.0,1,8.062295511482935,2,90.51,4,0,0,7.01,0.0,9.967458873886839,5,0,0,0.9667307443218203,7.972116386225684,9.991517322429571,10.001180375445056,50,0,1,Night (6:00 PM - 6:00 AM),73.99
19,Female,CSE,4.01,2,12.904348180424313,5,89.92,4,1,0,7.98,1.0,2.983482383801464,0,300,0,3.0380508693561135,4.987978357343531,5.0336135090954475,0.9940133933699125,6,0,0,Night (6:00 PM - 6:00 AM),76.02
22,Male,CSE,3.01,2,12.029458561214483,5,90.22,2,1,1,7.01,4.0,6.982582104272333,5,5,0,4.94625551162241,10.047270235381843,9.984354236853193,4.959269442296202,50,1,1,Night (6:00 PM - 6:00 AM),83.18
19,Male,DROPOUT,4.97,2,5.975169446807855,6,66.91,6,0,0,11.99,0.0,4.0146704475917305,0,40,0,9.034385723379316,9.994547776349005,2.0207361987575996,5.029674719676461,20,1,0,Morning (6:00 AM - 12:00 PM),88.12
21,Male,CSE,0.04,1,15.048775081023797,5,98.4,7,0,1,11.01,2.0,4.988088645515836,1,600,0,7.022354833245983,1.0386916011056888,5.978957905296778,7.989731044437176,3,1,0,Night (6:00 PM - 6:00 AM),90.16
20,Male,CSE,2.97,0,4.9514541057468575,4,87.1,5,1,0,10.0,1.0,2.9926552019258574,6,0,0,8.98767434311773,4.021069306631037,9.979400404134779,3.0357117128881073,90,1,1,Night (6:00 PM - 6:00 AM),49.66
24,Female,CSE,0.0,1,5.121803924290408,5,77.08,8,0,1,7.98,2.0,4.983302365644042,4,50,0,9.978963909225037,8.992257271731383,5.028979748440613,8.004504256162924,60,1,1,Morning (6:00 AM - 12:00 PM),79.97
22,Male,CSE,5.01,1,12.018740094581538,6,94.97,6,0,1,9.99,0.0,8.956772958711989,0,30,0,10.034550208611929,7.038291639681451,5.010685325572944,5.046516912988616,40,1,0,Afternoon (12:00 PM - 6:00 PM),88.78
22,Male,BCA,15.97,0,0.02641551335297006,7,43.98,5,0,0,10.03,2.0,5.071980673335087,0,45,0,7.050458607617732,1.0088518466573064,4.947153010983996,6.013926048448243,60,1,0,Afternoon (12:00 PM - 6:00 PM),85.07
20,Female,CSE,3.01,7,7.963989513787204,6,86.94,8,1,0,6.05,0.0,4.01117230618506,3,2,0,8.982794274703553,1.000366981607941,5.9791069258942375,7.967109242100479,10,1,1,Night (6:00 PM - 6:00 AM),91.74
26,Male,CSE,1.93,0,19.993786807884586,6,63.93,3,0,0,9.97,0.0,3.040829500187406,4,25,0,1.0162758128452205,6.997833804050727,6.937090520030355,7.9858880490389925,60,1,0,Morning (6:00 AM - 12:00 PM),86.15
20,Male,CSE,3.04,1,4.994994751395193,7,85.12,8,0,0,8.02,2.0,4.969056253843059,6,70,1,8.027465690184757,9.011902521895491,6.990810726975025,7.996115292749818,2,1,0,Night (6:00 PM - 6:00 AM),70.22
23,Male,CSE,1.02,0,8.08366538927258,5,97.79,5,0,0,9.01,0.0,1.042124867470193,7,5,0,2.016906697476716,3.969396434377673,6.993309199925932,1.9799308747100608,60,1,0,Night (6:00 PM - 6:00 AM),79.97
21,Female,CSE,12.95,2,5.01865987555664,7,88.75,5,1,0,8.04,3.0,7.989002932044478,4,240,0,4.001522974096494,3.0243843125053433,5.988400091468884,4.9913396326552055,50,1,1,Night (6:00 PM - 6:00 AM),68.05
21,Male,BA,0.0,0,7.025332958297404,7,19.74,8,0,0,5.99,2.0,6.0147083256391065,1,50,0,4.9890689333236224,3.011972622338779,7.0295231844324935,3.9686040163499934,90,1,1,Night (6:00 PM - 6:00 AM),85.22
22,Male,BSC,0.05,7,15.02481212706146,6,86.47,6,1,0,6.02,1.0,6.027508360887271,4,15,0,3.007795574228342,8.984507816012208,6.010107538309235,5.000131406907701,60,1,0,Morning (6:00 AM - 12:00 PM),78.29
20,Male,MBA,1.98,0,5.02928227992017,7,85.12,5,0,1,6.99,1.0,4.041909326094488,2,20,0,4.941515347497674,8.965594759269479,7.060340012049172,8.005452899364736,50,1,0,Night (6:00 PM - 6:00 AM),71.24
20,Male,BBA,0.97,0,6.935275753780917,6,86.07,4,1,0,7.02,3.0,2.9987135749571845,7,120,1,3.0375952976771274,0.9932009209542026,7.013070024592199,2.9769375232734125,30,0,1,Night (6:00 PM - 6:00 AM),90.08
24,Male,CSE,1.93,1,8.095460073088763,6,19.76,6,0,1,10.04,4.0,5.972142270643572,5,15,0,9.952141497851843,7.0067854104277245,6.013520385502087,3.0445639381186504,40,0,0,Morning (6:00 AM - 12:00 PM),76.23
19,Male,CSE,3.99,7,3.9591243708386528,4,52.14,10,1,0,6.0,3.0,5.999590212852192,4,35,0,2.976488280948029,3.004230526958434,8.00665576612774,1.001458778395659,2,1,1,Night (6:00 PM - 6:00 AM),90.86
22,Male,CSE,4.99,0,1.9982110292569728,4,43.97,8,0,0,6.98,2.0,1.0163940046362816,1,6,0,4.99054129539169,3.0040634211284796,7.993417174708911,6.981241021066595,0,1,1,Night (6:00 PM - 6:00 AM),70.9
19,Male,CSE,5.02,3,5.071340333047814,7,98.05,7,0,0,7.03,0.0,7.985136188966394,4,600,0,8.971996443690056,3.018275769969485,9.98410292529516,7.962572592278489,15,1,1,Night (6:00 PM - 6:00 AM),72.13
18,Male,BA LLB,2.96,3,15.090119722012776,7,68.78,10,0,0,6.01,2.0,3.9882641348290666,4,0,0,7.9683632096065695,4.968789515235149,7.994249893805594,7.001376773767605,10,1,1,Morning (6:00 AM - 12:00 PM),82.0
20,Female,BBA,5.95,1,8.037543372219393,7,67.04,5,0,0,8.01,6.0,2.9570552554261225,6,40,0,5.039522575129324,2.9982257722697545,3.99537320766203,5.994017075547308,15,1,1,Morning (6:00 AM - 12:00 PM),89.09
21,Female,BHMS,4.01,0,7.976490049407554,5,74.9,8,0,0,6.03,0.0,12.972868451202471,6,0,1,8.050371023243617,5.008078430942604,5.997694691751195,4.017984955195776,360,1,0,Night (6:00 PM - 6:00 AM),93.13
20,Female,CSE,2.03,0,10.00595019739594,7,71.83,5,0,0,5.98,4.0,4.012323593423019,0,30,0,2.0434213455943837,5.012495773653248,6.0155627687925834,0.9967070586377627,10,0,0,Morning (6:00 AM - 12:00 PM),86.13
19,Male,BA LLB,11.95,4,13.00777775665593,3,68.17,1,0,1,6.99,10.0,1.0244626042386453,0,120,0,2.023428424726271,5.024379452907304,10.007342875775587,4.9725825578003855,56,1,0,Morning (6:00 AM - 12:00 PM),90.74
20,Male,CSE,2.53,3,4.00942785757092,3,67.65,7,0,0,6.01,4.0,3.0305596130360506,4,10,0,5.069107561405685,8.994480438675426,8.987350632610468,8.038373210673814,0,1,0,Night (6:00 PM - 6:00 AM),74.1
21,Male,BHMS,3.0,3,7.94270102997292,7,85.13,9,0,0,9.99,0.0,0.06312857866270809,0,30,0,7.9925327312047605,1.001445806410286,4.981937424938662,6.010005472086066,35,1,1,Night (6:00 PM - 6:00 AM),9.91
21,Male,CSE,3.03,3,8.058699077778341,6,90.16,8,0,0,7.99,1.0,2.04127745672908,6,60,0,2.9898415485368046,2.979886835114083,2.0054881471759303,9.994163607864639,80,1,1,Night (6:00 PM - 6:00 AM),95.04
20,Male,CSE,4.0,2,12.006269493693663,5,89.8,6,0,1,9.02,0.0,2.995783365606064,7,2,0,3.0003158890679895,6.0105305017994395,5.9773224575808515,1.003781432852446,120,1,1,Morning (6:00 AM - 12:00 PM),86.94
